5.2 Cataracts      Use of corticosteroids may result in posterior subcapsular cataract formation.,result in is not a named entity
"BOXED WARNING: WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B      WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B        Lactic acidosis and severe hepatomegaly with steatosis, including fatal cases, have been reported with the use of nucleoside analogs, including tenofovir disoproxil fumarate, a component of STRIBILD, in combination with other antiretrovirals   [see   Warnings and Precautions (5.1)  ]  .",ACUTE EXACERBATION OF HEPATITIS B is an adverse reaction entity
"BOXED WARNING: WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B      WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B        Lactic acidosis and severe hepatomegaly with steatosis, including fatal cases, have been reported with the use of nucleoside analogs, including tenofovir disoproxil fumarate, a component of STRIBILD, in combination with other antiretrovirals   [see   Warnings and Precautions (5.1)  ]  .",STEATOSIS and POST is not a named entity
"BOXED WARNING: WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B      WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B        Lactic acidosis and severe hepatomegaly with steatosis, including fatal cases, have been reported with the use of nucleoside analogs, including tenofovir disoproxil fumarate, a component of STRIBILD, in combination with other antiretrovirals   [see   Warnings and Precautions (5.1)  ]  .",LACTIC ACIDOSIS is an adverse reaction entity
"BOXED WARNING: WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B      WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B        Lactic acidosis and severe hepatomegaly with steatosis, including fatal cases, have been reported with the use of nucleoside analogs, including tenofovir disoproxil fumarate, a component of STRIBILD, in combination with other antiretrovirals   [see   Warnings and Precautions (5.1)  ]  .",HEPATOMEGALY is an adverse reaction entity
"BOXED WARNING: WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B      WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B        Lactic acidosis and severe hepatomegaly with steatosis, including fatal cases, have been reported with the use of nucleoside analogs, including tenofovir disoproxil fumarate, a component of STRIBILD, in combination with other antiretrovirals   [see   Warnings and Precautions (5.1)  ]  .",fatal is an adverse reaction entity
"BOXED WARNING: WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B      WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B        Lactic acidosis and severe hepatomegaly with steatosis, including fatal cases, have been reported with the use of nucleoside analogs, including tenofovir disoproxil fumarate, a component of STRIBILD, in combination with other antiretrovirals   [see   Warnings and Precautions (5.1)  ]  .",Lactic acidosis is an adverse reaction entity
"BOXED WARNING: WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B      WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B        Lactic acidosis and severe hepatomegaly with steatosis, including fatal cases, have been reported with the use of nucleoside analogs, including tenofovir disoproxil fumarate, a component of STRIBILD, in combination with other antiretrovirals   [see   Warnings and Precautions (5.1)  ]  .",of nucleoside analogs is not a named entity
"BOXED WARNING: WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B      WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B        Lactic acidosis and severe hepatomegaly with steatosis, including fatal cases, have been reported with the use of nucleoside analogs, including tenofovir disoproxil fumarate, a component of STRIBILD, in combination with other antiretrovirals   [see   Warnings and Precautions (5.1)  ]  .",", including tenofovir is not a named entity"
"BOXED WARNING: WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B      WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B        Lactic acidosis and severe hepatomegaly with steatosis, including fatal cases, have been reported with the use of nucleoside analogs, including tenofovir disoproxil fumarate, a component of STRIBILD, in combination with other antiretrovirals   [see   Warnings and Precautions (5.1)  ]  .",OF HEPATITIS is not a named entity
"BOXED WARNING: WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B      WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B        Lactic acidosis and severe hepatomegaly with steatosis, including fatal cases, have been reported with the use of nucleoside analogs, including tenofovir disoproxil fumarate, a component of STRIBILD, in combination with other antiretrovirals   [see   Warnings and Precautions (5.1)  ]  .",STEATOSIS is an adverse reaction entity
"BOXED WARNING: WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B      WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B        Lactic acidosis and severe hepatomegaly with steatosis, including fatal cases, have been reported with the use of nucleoside analogs, including tenofovir disoproxil fumarate, a component of STRIBILD, in combination with other antiretrovirals   [see   Warnings and Precautions (5.1)  ]  .",disoproxil is not a named entity
"BOXED WARNING: WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B      WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B        Lactic acidosis and severe hepatomegaly with steatosis, including fatal cases, have been reported with the use of nucleoside analogs, including tenofovir disoproxil fumarate, a component of STRIBILD, in combination with other antiretrovirals   [see   Warnings and Precautions (5.1)  ]  .",", is not a named entity"
"BOXED WARNING: WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B      WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B        Lactic acidosis and severe hepatomegaly with steatosis, including fatal cases, have been reported with the use of nucleoside analogs, including tenofovir disoproxil fumarate, a component of STRIBILD, in combination with other antiretrovirals   [see   Warnings and Precautions (5.1)  ]  .",HEPATOMEGALY is an adverse reaction entity
"BOXED WARNING: WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B      WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B        Lactic acidosis and severe hepatomegaly with steatosis, including fatal cases, have been reported with the use of nucleoside analogs, including tenofovir disoproxil fumarate, a component of STRIBILD, in combination with other antiretrovirals   [see   Warnings and Precautions (5.1)  ]  .",B Lactic acidosis is not a named entity
"BOXED WARNING: WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B      WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B        Lactic acidosis and severe hepatomegaly with steatosis, including fatal cases, have been reported with the use of nucleoside analogs, including tenofovir disoproxil fumarate, a component of STRIBILD, in combination with other antiretrovirals   [see   Warnings and Precautions (5.1)  ]  .",steatosis is an adverse reaction entity
"BOXED WARNING: WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B      WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B        Lactic acidosis and severe hepatomegaly with steatosis, including fatal cases, have been reported with the use of nucleoside analogs, including tenofovir disoproxil fumarate, a component of STRIBILD, in combination with other antiretrovirals   [see   Warnings and Precautions (5.1)  ]  .",ACIDOSIS/SEVERE HEPATOMEGALY is not a named entity
"BOXED WARNING: WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B      WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B        Lactic acidosis and severe hepatomegaly with steatosis, including fatal cases, have been reported with the use of nucleoside analogs, including tenofovir disoproxil fumarate, a component of STRIBILD, in combination with other antiretrovirals   [see   Warnings and Precautions (5.1)  ]  .",TREATMENT ACUTE EXACERBATION is not a named entity
"BOXED WARNING: WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B      WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B        Lactic acidosis and severe hepatomegaly with steatosis, including fatal cases, have been reported with the use of nucleoside analogs, including tenofovir disoproxil fumarate, a component of STRIBILD, in combination with other antiretrovirals   [see   Warnings and Precautions (5.1)  ]  .",ACUTE EXACERBATION OF HEPATITIS B is an adverse reaction entity
"BOXED WARNING: WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B      WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B        Lactic acidosis and severe hepatomegaly with steatosis, including fatal cases, have been reported with the use of nucleoside analogs, including tenofovir disoproxil fumarate, a component of STRIBILD, in combination with other antiretrovirals   [see   Warnings and Precautions (5.1)  ]  .","fumarate , a is not a named entity"
"BOXED WARNING: WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B      WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B        Lactic acidosis and severe hepatomegaly with steatosis, including fatal cases, have been reported with the use of nucleoside analogs, including tenofovir disoproxil fumarate, a component of STRIBILD, in combination with other antiretrovirals   [see   Warnings and Precautions (5.1)  ]  .",been is not a named entity
"BOXED WARNING: WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B      WARNING: LACTIC ACIDOSIS/SEVERE HEPATOMEGALY WITH STEATOSIS and POST TREATMENT ACUTE EXACERBATION OF HEPATITIS B        Lactic acidosis and severe hepatomegaly with steatosis, including fatal cases, have been reported with the use of nucleoside analogs, including tenofovir disoproxil fumarate, a component of STRIBILD, in combination with other antiretrovirals   [see   Warnings and Precautions (5.1)  ]  .",and severe hepatomegaly is not a named entity
"In the clinical trials of STRIBILD over 144 weeks, 13 (1.9%) subjects in the STRIBILD group (N=701), 8 (2.3%) subjects in the ATV + RTV + TRUVADA group (N=355) and no subjects in the ATRIPLA group (N = 352) discontinued study drug due to a renal adverse reaction.",renal adverse reaction is an adverse reaction entity
"In the clinical trials of STRIBILD over 144 weeks, 13 (1.9%) subjects in the STRIBILD group (N=701), 8 (2.3%) subjects in the ATV + RTV + TRUVADA group (N=355) and no subjects in the ATRIPLA group (N = 352) discontinued study drug due to a renal adverse reaction.",over 144 weeks is not a named entity
5 WARNINGS AND PRECAUTIONS       EXCERPT:    *  New onset or worsening renal impairment: Can include acute renal failure and Fanconi syndrome.,: is not a named entity
5 WARNINGS AND PRECAUTIONS       EXCERPT:    *  New onset or worsening renal impairment: Can include acute renal failure and Fanconi syndrome.,EXCERPT is not a named entity
5 WARNINGS AND PRECAUTIONS       EXCERPT:    *  New onset or worsening renal impairment: Can include acute renal failure and Fanconi syndrome.,acute renal failure is an adverse reaction entity
5 WARNINGS AND PRECAUTIONS       EXCERPT:    *  New onset or worsening renal impairment: Can include acute renal failure and Fanconi syndrome.,AND PRECAUTIONS EXCERPT is not a named entity
5 WARNINGS AND PRECAUTIONS       EXCERPT:    *  New onset or worsening renal impairment: Can include acute renal failure and Fanconi syndrome.,Fanconi syndrome is an adverse reaction entity
5 WARNINGS AND PRECAUTIONS       EXCERPT:    *  New onset or worsening renal impairment: Can include acute renal failure and Fanconi syndrome.,New onset renal impairment is an adverse reaction entity
5 WARNINGS AND PRECAUTIONS       EXCERPT:    *  New onset or worsening renal impairment: Can include acute renal failure and Fanconi syndrome.,WARNINGS is not a named entity
5 WARNINGS AND PRECAUTIONS       EXCERPT:    *  New onset or worsening renal impairment: Can include acute renal failure and Fanconi syndrome.,worsening renal impairment is an adverse reaction entity
"Additional adverse drug reactions observed with STRIBILD included suicidal ideation and suicide attempt (0.3%), all in subjects with a pre-existing history of depression or psychiatric illness.",suicide attempt is an adverse reaction entity
"Additional adverse drug reactions observed with STRIBILD included suicidal ideation and suicide attempt (0.3%), all in subjects with a pre-existing history of depression or psychiatric illness.",of depression or is not a named entity
"Additional adverse drug reactions observed with STRIBILD included suicidal ideation and suicide attempt (0.3%), all in subjects with a pre-existing history of depression or psychiatric illness.",suicidal ideation is an adverse reaction entity
"Additional adverse drug reactions observed with STRIBILD included suicidal ideation and suicide attempt (0.3%), all in subjects with a pre-existing history of depression or psychiatric illness.",) is not a named entity
One (0.3%) subject who received ATV + RTV + TRUVADA developed laboratory findings consistent with proximal renal tubular dysfunction leading to discontinuation of ATV + RTV + TRUVADA after Week 96.,0.3 % ) is not a named entity
One (0.3%) subject who received ATV + RTV + TRUVADA developed laboratory findings consistent with proximal renal tubular dysfunction leading to discontinuation of ATV + RTV + TRUVADA after Week 96.,proximal renal tubular dysfunction is an adverse reaction entity
Table 4 displays the mean changes in serum creatinine and eGFR levels at Week 144 and the percentage of subjects with elevations in serum creatinine (All Grades).,elevations in serum creatinine is an adverse reaction entity
Table 4 displays the mean changes in serum creatinine and eGFR levels at Week 144 and the percentage of subjects with elevations in serum creatinine (All Grades).,levels at is not a named entity
Skin discoloration has been reported with higher frequency among emtricitabine-treated subjects; it was manifested by hyperpigmentation on the palms and/or soles and was generally mild and asymptomatic.,hyperpigmentation on the soles is an adverse reaction entity
Skin discoloration has been reported with higher frequency among emtricitabine-treated subjects; it was manifested by hyperpigmentation on the palms and/or soles and was generally mild and asymptomatic.,the is not a named entity
Skin discoloration has been reported with higher frequency among emtricitabine-treated subjects; it was manifested by hyperpigmentation on the palms and/or soles and was generally mild and asymptomatic.,with higher frequency is not a named entity
Skin discoloration has been reported with higher frequency among emtricitabine-treated subjects; it was manifested by hyperpigmentation on the palms and/or soles and was generally mild and asymptomatic.,hyperpigmentation on the palms is an adverse reaction entity
Skin discoloration has been reported with higher frequency among emtricitabine-treated subjects; it was manifested by hyperpigmentation on the palms and/or soles and was generally mild and asymptomatic.,emtricitabine-treated is not a named entity
Skin discoloration has been reported with higher frequency among emtricitabine-treated subjects; it was manifested by hyperpigmentation on the palms and/or soles and was generally mild and asymptomatic.,Skin discoloration is an adverse reaction entity
"Autoimmune disorders (such as Graves' disease, polymyositis, and Guillain-Barre syndrome) have also been reported to occur in the setting of immune reconstitution, however, the time to onset is more variable, and can occur many months after initiation of treatment.",polymyositis is an adverse reaction entity
"Autoimmune disorders (such as Graves' disease, polymyositis, and Guillain-Barre syndrome) have also been reported to occur in the setting of immune reconstitution, however, the time to onset is more variable, and can occur many months after initiation of treatment.",in is not a named entity
"Autoimmune disorders (such as Graves' disease, polymyositis, and Guillain-Barre syndrome) have also been reported to occur in the setting of immune reconstitution, however, the time to onset is more variable, and can occur many months after initiation of treatment.",occur many months is not a named entity
"Autoimmune disorders (such as Graves' disease, polymyositis, and Guillain-Barre syndrome) have also been reported to occur in the setting of immune reconstitution, however, the time to onset is more variable, and can occur many months after initiation of treatment.",Autoimmune disorders is an adverse reaction entity
"Autoimmune disorders (such as Graves' disease, polymyositis, and Guillain-Barre syndrome) have also been reported to occur in the setting of immune reconstitution, however, the time to onset is more variable, and can occur many months after initiation of treatment.",months is not a named entity
"Autoimmune disorders (such as Graves' disease, polymyositis, and Guillain-Barre syndrome) have also been reported to occur in the setting of immune reconstitution, however, the time to onset is more variable, and can occur many months after initiation of treatment.",Guillain-Barre syndrome is an adverse reaction entity
"Autoimmune disorders (such as Graves' disease, polymyositis, and Guillain-Barre syndrome) have also been reported to occur in the setting of immune reconstitution, however, the time to onset is more variable, and can occur many months after initiation of treatment.",Graves' disease is an adverse reaction entity
"Autoimmune disorders (such as Graves' disease, polymyositis, and Guillain-Barre syndrome) have also been reported to occur in the setting of immune reconstitution, however, the time to onset is more variable, and can occur many months after initiation of treatment.",immune is not a named entity
"Common adverse reactions that occurred in greater than or equal to 2% of subjects switching to STRIBILD were nausea (4%), flatulence (2%), and headache (2%).",headache is an adverse reaction entity
"Common adverse reactions that occurred in greater than or equal to 2% of subjects switching to STRIBILD were nausea (4%), flatulence (2%), and headache (2%).",", flatulence ( is not a named entity"
"Common adverse reactions that occurred in greater than or equal to 2% of subjects switching to STRIBILD were nausea (4%), flatulence (2%), and headache (2%).",occurred is not a named entity
"Common adverse reactions that occurred in greater than or equal to 2% of subjects switching to STRIBILD were nausea (4%), flatulence (2%), and headache (2%).",flatulence ( 2 is not a named entity
"Common adverse reactions that occurred in greater than or equal to 2% of subjects switching to STRIBILD were nausea (4%), flatulence (2%), and headache (2%).",flatulence is an adverse reaction entity
"Common adverse reactions that occurred in greater than or equal to 2% of subjects switching to STRIBILD were nausea (4%), flatulence (2%), and headache (2%).",nausea is an adverse reaction entity
"Mean percentage decreases in BMD from baseline to Week 144 in the STRIBILD group were comparable to the ATV + RTV + TRUVADA group at the lumbar spine (-1.43% versus -3.68%, respectively) and at the hip (-2.83% versus -3.77%, respectively).",respectively is not a named entity
"Mean percentage decreases in BMD from baseline to Week 144 in the STRIBILD group were comparable to the ATV + RTV + TRUVADA group at the lumbar spine (-1.43% versus -3.68%, respectively) and at the hip (-2.83% versus -3.77%, respectively).",decreases in BMD is an adverse reaction entity
"The decrease in serum potassium is usually transient, not requiring supplementation.",potassium is usually is not a named entity
"The decrease in serum potassium is usually transient, not requiring supplementation.",decrease in serum potassium is an adverse reaction entity
"(  5.6  ,  5.7  )              5.1     Asthma-Related Death [See Boxed Warning]          *   Data from a large placebo-controlled study in asthma patients showed that long-acting beta  2  -adrenergic agonists may increase the risk of asthma-related death.",death is an adverse reaction entity
"(  5.6  ,  5.7  )              5.1     Asthma-Related Death [See Boxed Warning]          *   Data from a large placebo-controlled study in asthma patients showed that long-acting beta  2  -adrenergic agonists may increase the risk of asthma-related death.",the risk of is not a named entity
5.4     Immediate Hypersensitivity Reactions       Immediate hypersensitivity reactions may occur after administration of ARCAPTA NEOHALER.,5.4 Immediate is not a named entity
5.4     Immediate Hypersensitivity Reactions       Immediate hypersensitivity reactions may occur after administration of ARCAPTA NEOHALER.,hypersensitivity reactions is an adverse reaction entity
"These adverse reactions are: hypersensitivity reactions, paradoxical bronchospasm, tachycardia/heart rate increase/palpitations, pruritus/rash and dizziness.",rash is an adverse reaction entity
"These adverse reactions are: hypersensitivity reactions, paradoxical bronchospasm, tachycardia/heart rate increase/palpitations, pruritus/rash and dizziness.",dizziness is an adverse reaction entity
"These adverse reactions are: hypersensitivity reactions, paradoxical bronchospasm, tachycardia/heart rate increase/palpitations, pruritus/rash and dizziness.","increase/palpitations , pruritus/rash is not a named entity"
"These adverse reactions are: hypersensitivity reactions, paradoxical bronchospasm, tachycardia/heart rate increase/palpitations, pruritus/rash and dizziness.",paradoxical bronchospasm is an adverse reaction entity
"These adverse reactions are: hypersensitivity reactions, paradoxical bronchospasm, tachycardia/heart rate increase/palpitations, pruritus/rash and dizziness.",", tachycardia/heart is not a named entity"
"These adverse reactions are: hypersensitivity reactions, paradoxical bronchospasm, tachycardia/heart rate increase/palpitations, pruritus/rash and dizziness.",", is not a named entity"
"These adverse reactions are: hypersensitivity reactions, paradoxical bronchospasm, tachycardia/heart rate increase/palpitations, pruritus/rash and dizziness.",are is not a named entity
"These adverse reactions are: hypersensitivity reactions, paradoxical bronchospasm, tachycardia/heart rate increase/palpitations, pruritus/rash and dizziness.",", is not a named entity"
"These adverse reactions are: hypersensitivity reactions, paradoxical bronchospasm, tachycardia/heart rate increase/palpitations, pruritus/rash and dizziness.",pruritus/rash and is not a named entity
"These adverse reactions are: hypersensitivity reactions, paradoxical bronchospasm, tachycardia/heart rate increase/palpitations, pruritus/rash and dizziness.",reactions are is not a named entity
"These adverse reactions are: hypersensitivity reactions, paradoxical bronchospasm, tachycardia/heart rate increase/palpitations, pruritus/rash and dizziness.",heart rate increase is an adverse reaction entity
"These adverse reactions are: hypersensitivity reactions, paradoxical bronchospasm, tachycardia/heart rate increase/palpitations, pruritus/rash and dizziness.",hypersensitivity reactions is an adverse reaction entity
"These adverse reactions are: hypersensitivity reactions, paradoxical bronchospasm, tachycardia/heart rate increase/palpitations, pruritus/rash and dizziness.",tachycardia is an adverse reaction entity
"These adverse reactions are: hypersensitivity reactions, paradoxical bronchospasm, tachycardia/heart rate increase/palpitations, pruritus/rash and dizziness.",palpitations is an adverse reaction entity
"These adverse reactions are: hypersensitivity reactions, paradoxical bronchospasm, tachycardia/heart rate increase/palpitations, pruritus/rash and dizziness.",rate increase/palpitations is not a named entity
"These adverse reactions are: hypersensitivity reactions, paradoxical bronchospasm, tachycardia/heart rate increase/palpitations, pruritus/rash and dizziness.",pruritus is an adverse reaction entity
"5.5     Paradoxical Bronchospasm      As with other inhaled beta2-agonists, ARCAPTA NEOHALER may produce paradoxical bronchospasm that may be life-threatening.",As with is not a named entity
"5.5     Paradoxical Bronchospasm      As with other inhaled beta2-agonists, ARCAPTA NEOHALER may produce paradoxical bronchospasm that may be life-threatening.",paradoxical bronchospasm is an adverse reaction entity
Clinically notable decreases in serum potassium or changes in blood glucose were infrequent during clinical studies with long-term administration of ARCAPTA NEOHALER with the rates similar to those for placebo controls.,serum is not a named entity
Clinically notable decreases in serum potassium or changes in blood glucose were infrequent during clinical studies with long-term administration of ARCAPTA NEOHALER with the rates similar to those for placebo controls.,decreases in serum potassium is an adverse reaction entity
Clinically notable decreases in serum potassium or changes in blood glucose were infrequent during clinical studies with long-term administration of ARCAPTA NEOHALER with the rates similar to those for placebo controls.,changes in blood glucose is an adverse reaction entity
Clinically notable decreases in serum potassium or changes in blood glucose were infrequent during clinical studies with long-term administration of ARCAPTA NEOHALER with the rates similar to those for placebo controls.,during clinical studies is not a named entity
"*   A 28-week, placebo-controlled US study comparing the safety of another long-acting beta  2  -adrenergic agonist (  salmeterol  ) with placebo, each added to usual asthma therapy, showed an increase in asthma-related deaths in patients receiving salmeterol (13/13,176 in patients treated with salmeterol vs. 3/13,179 in patients treated with placebo; RR 4.37, 95% CI 1.25, 15.34).",deaths is an adverse reaction entity
"*   A 28-week, placebo-controlled US study comparing the safety of another long-acting beta  2  -adrenergic agonist (  salmeterol  ) with placebo, each added to usual asthma therapy, showed an increase in asthma-related deaths in patients receiving salmeterol (13/13,176 in patients treated with salmeterol vs. 3/13,179 in patients treated with placebo; RR 4.37, 95% CI 1.25, 15.34).",vs. is not a named entity
"5.6     Cardiovascular Effects      ARCAPTA NEOHALER, like other beta2-agonists, can produce a clinically significant cardiovascular effect in some patients as measured by increases in pulse rate, systolic or diastolic blood pressure, or symptoms.",Effects is not a named entity
"5.6     Cardiovascular Effects      ARCAPTA NEOHALER, like other beta2-agonists, can produce a clinically significant cardiovascular effect in some patients as measured by increases in pulse rate, systolic or diastolic blood pressure, or symptoms.",clinically significant cardiovascular is not a named entity
"5.6     Cardiovascular Effects      ARCAPTA NEOHALER, like other beta2-agonists, can produce a clinically significant cardiovascular effect in some patients as measured by increases in pulse rate, systolic or diastolic blood pressure, or symptoms.",or is not a named entity
"5.6     Cardiovascular Effects      ARCAPTA NEOHALER, like other beta2-agonists, can produce a clinically significant cardiovascular effect in some patients as measured by increases in pulse rate, systolic or diastolic blood pressure, or symptoms.",increases in pulse rate is an adverse reaction entity
"5.6     Cardiovascular Effects      ARCAPTA NEOHALER, like other beta2-agonists, can produce a clinically significant cardiovascular effect in some patients as measured by increases in pulse rate, systolic or diastolic blood pressure, or symptoms.",increases in diastolic blood pressure is an adverse reaction entity
"5.6     Cardiovascular Effects      ARCAPTA NEOHALER, like other beta2-agonists, can produce a clinically significant cardiovascular effect in some patients as measured by increases in pulse rate, systolic or diastolic blood pressure, or symptoms.","beta2-agonists , can is not a named entity"
"5.6     Cardiovascular Effects      ARCAPTA NEOHALER, like other beta2-agonists, can produce a clinically significant cardiovascular effect in some patients as measured by increases in pulse rate, systolic or diastolic blood pressure, or symptoms.",cardiovascular effect is an adverse reaction entity
"5.6     Cardiovascular Effects      ARCAPTA NEOHALER, like other beta2-agonists, can produce a clinically significant cardiovascular effect in some patients as measured by increases in pulse rate, systolic or diastolic blood pressure, or symptoms.",increases in systolic blood pressure is an adverse reaction entity
"Doses of the related beta2-agonist albuterol, when administered intravenously, have been reported to aggravate pre-existing diabetes mellitus and ketoacidosis.",of the related is not a named entity
"Doses of the related beta2-agonist albuterol, when administered intravenously, have been reported to aggravate pre-existing diabetes mellitus and ketoacidosis.",", when is not a named entity"
"Doses of the related beta2-agonist albuterol, when administered intravenously, have been reported to aggravate pre-existing diabetes mellitus and ketoacidosis.",aggravate ketoacidosis is an adverse reaction entity
"Doses of the related beta2-agonist albuterol, when administered intravenously, have been reported to aggravate pre-existing diabetes mellitus and ketoacidosis.",aggravate pre-existing diabetes mellitus is an adverse reaction entity
The most common adverse reactions that lead to discontinuation of ARCAPTA NEOHALER were COPD and dyspnea.,most is not a named entity
The most common adverse reactions that lead to discontinuation of ARCAPTA NEOHALER were COPD and dyspnea.,COPD is an adverse reaction entity
The most common adverse reactions that lead to discontinuation of ARCAPTA NEOHALER were COPD and dyspnea.,dyspnea is an adverse reaction entity
The most common adverse reactions that lead to discontinuation of ARCAPTA NEOHALER were COPD and dyspnea.,COPD and dyspnea is not a named entity
BOXED WARNING: WARNING: ASTHMA-RELATED DEATH      WARNING    : ASTHMA-RELATED DEATH        L    ong-acting beta    2    -adrenergic agonist    s         (LABA)     increase the risk of asthma-related death.,increase is not a named entity
